country,yearQ,year,quarter,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,GDP_per_cap_cur_USD,ln_GDP_per_cap_cur,yearnum,post_08,post_09,post_15,post_16,post_17,ticker.x,fx_volatility.x,ticker.y,fx_volatility.y
Bulgaria,2004Q4,2004,4,15.639,39.772257468715985,0.6443425627575807,1.084,2.19725,5.0325,5.0325,5.84675,0.6957500000000001,4.06375,10.6065,918,6442,82110,6994,6.149,3.966,12.192,1.593,-4.277,EM,8.770594329891145,11.315815090702834,8.852807917623322,NA,15.456793893129769,18.886297709923657,Units,2.45,3389.707048831015,8.128498780366357,2004,NO,NO,NO,NO,NO,3,0.049549683865401345,BGN,0.049549683865401345
Bulgaria,2005Q4,2005,4,13.08475,29.468820031631804,0.6249801826269712,1.20375,2.5165,5.041,5.041,3.1397500000000003,0.75675,4.1475,8.04375,918,7154,90724,7741,6.038,7.394,10.177,2.187,-9.428,EM,8.875426919818963,11.415577209700327,8.954286157204713,12.8578344824811,12.779846153846155,14.031134999999999,Units,2.05,3899.9076377401716,8.268708149206574,2005,NO,NO,NO,NO,NO,3,0.0697445099250591,BGN,0.0697445099250591
Bulgaria,2006Q4,2006,4,11.47675,22.676287128565534,0.6473700857969272,0.97625,2.8529999999999998,4.55575,4.55575,2.01625,1.1835,3.7205,6.92075,918,6802,99828,7351,7.416,6.093,9.022,3.221,-15.28,EM,8.82497196556714,11.511203984071887,8.902591637374087,13.7159110560133,12.78038461538462,16.52674884615384,Units,3.26,4523.050832980599,8.41694200818997,2006,NO,NO,NO,NO,NO,3,0.051024620650558614,BGN,0.051024620650558614
Bulgaria,2007Q4,2007,4,10.465,17.63881174283738,0.7118969414921483,0.94075,3.1095,4.24,4.24,1.16825,1.40725,3.64975,6.22525,918,6557,109231,7102,7.572,11.563,6.935,3.088,-23.907,EM,8.788288460263619,11.601220184789732,8.868131713503033,19.6006709255934,17.45256704980844,19.614428735632167,Units,4.58,5885.104347818366,8.680179750687287,2007,NO,NO,NO,NO,NO,3,0.0529717344788595,BGN,0.0529717344788595
Bulgaria,2008Q4,2008,4,9.5365,13.819729745786132,0.7666522343178879,1.17725,3.1727499999999997,4.34975,4.34975,0.76575,1.3995,3.02125,5.1865000000000006,918,6086,118132,6555,11.951,7.191,5.664,2.734,-22.094,EM,8.713746330456916,11.679557922299542,8.7879833961978,15.8041660733492,32.58267175572519,33.70876145038169,Units,5.77,7265.735496829973,8.890924809260024,2008,YES,NO,NO,NO,NO,3,0.09879750727065095,BGN,0.09879750727065095
Bulgaria,2009Q4,2009,4,9.693,13.148068950474473,0.7212034858056378,1.33525,3.085,4.4197500000000005,4.4197500000000005,0.554,1.33375,3.385,5.273,918,-3424,114958,-2877,2.469,1.637,6.878,-8.56e-4,-8.319,EM,NA,11.65232212324597,NA,15.8697725432464,31.598494208494223,33.634777606177614,Units,0.55,6984.96597556864,8.851515400608138,2009,YES,YES,NO,NO,NO,3,0.07404445956344365,BGN,0.07404445956344365
Bulgaria,2010Q4,2010,4,10.679,14.617153573833484,0.6733346588875697,1.64225,3.4635,5.10625,5.10625,0.49824999999999997,1.47725,3.5975,5.57275,918,0.57,116960,1358,3.039,4.45,10.306,-3.794,-1.735,EM,-0.5621189181535413,11.669587274983606,7.213768308118642,15.5571053721922,22.49457831325302,26.361271485943774,Units,0.18,6809.89898414354,8.826132565574444,2010,YES,YES,NO,NO,NO,3,0.06789313376286771,BGN,0.06789313376286771
Bulgaria,2011Q4,2011,4,11.535499999999999,14.545704374374608,0.7043328534176118,1.9665,4.190250000000001,6.157,6.157,0.39575,1.26375,3.718,5.3782499999999995,918,2351,122210,4832,3.386,2.039,11.35,-1.844,3.3e-4,EM,7.762596048540069,11.713496155432047,8.48301573961465,15.343247388544,24.20257936507937,30.077896825396813,Units,0.22,7806.348652424989,8.962692611414528,2011,YES,YES,NO,NO,NO,3,0.04726925460694225,BGN,0.04726925460694225
Bulgaria,2012Q4,2012,4,13.19975,16.307153522721055,0.6654326829147534,2.04475,5.10225,7.14675,7.14675,0.77925,1.22475,4.04925,6.05325,918,0.361,125004,0.948,2.391,2.763,12.379,-4.3599999999999997e-4,-8.51e-4,EM,-1.018877320649256,11.73610101577245,-0.053400776727115296,14.4964300700258,17.815490196078425,24.584285490196052,Units,0.03,7393.189176915402,8.908314473883227,2012,YES,YES,NO,NO,NO,3,0.03922022574549083,BGN,0.03922022574549083
Bulgaria,2013Q4,2013,4,13.466,16.41613300129799,0.6796758655638272,1.21875,5.81275,7.03125,7.03125,0.8515,1.07675,4.50675,6.435,918,0.319,127602,0.857,3.8500000000000003e-4,-8.51e-4,13.038,-1.759,1.28,EM,-1.1425641761972924,11.756671323751183,-0.15431736038435728,14.9278463069496,14.22903100775193,18.533330620155034,Units,0.02,7651.817880667602,8.942698530050516,2013,YES,YES,NO,NO,NO,3,0.02908779664473989,BGN,0.02908779664473989
Bulgaria,2014Q4,2014,4,18.13675,21.928945811183347,0.6671015968174696,1.7685,7.6995,9.46775,9.46775,1.7625,1.6135000000000002,5.29225,8.66875,918,1895,132426,2510,-1.601,-1.951,11.524,-3.665,1.239,EM,7.546974117516527,11.79377927782843,7.828038032125829,15.6130556912446,14.131210937500002,18.281921875000005,Units,0.02,7874.260904256455,8.971354605861574,2014,YES,YES,NO,NO,NO,3,0.06030464395241975,BGN,0.06030464395241975
Bulgaria,2015Q4,2015,4,23.88225,27.33268283507274,0.5633997380084762,2.88125,9.33725,12.2185,12.2185,5.771,0.83975,5.05275,11.66375,918,3990,139143,4693,-1.067,-8.96e-4,9.233,-2.782,1.21e-4,EM,8.29154650988391,11.843257460262876,8.453827315794417,15.2579693397169,16.721011673151743,23.99266614785993,Units,0.01,7053.603706387087,8.861293929233025,2015,YES,YES,YES,NO,NO,3,0.046268159013100336,BGN,0.046268159013100336
Bulgaria,2016Q4,2016,4,26.97,29.108620143683932,0.5648309645796088,3.31025,10.6655,13.9755,13.9755,7.09,0.87775,5.02625,12.994250000000001,918,3812,145942,4571,-1.323,-5.02e-4,7.666,1.544,3.191,EM,8.245909264774093,11.890964561487735,8.427487278331744,16.6366354346642,15.863488372093013,23.590334883720946,Units,0,7545.790332497994,8.928745114887509,2016,YES,YES,YES,YES,NO,3,0.05252298243959622,BGN,0.05252298243959622
Bulgaria,2017Q4,2017,4,26.66225,26.859757403742357,0.5867419917151432,3.612,10.93875,14.551,14.551,5.9335,0.7312500000000001,5.44675,12.1115,918,3507,153904,4267,1.188,1.796,6.23,8.259999999999999e-4,3.489,EM,8.162516250140179,11.944084310392396,8.358666283188,16.86693626951,11.090891472868222,14.76677790697675,Units,0,8331.058024602597,9.027745740853138,2017,YES,YES,YES,YES,YES,3,0.07956663489289582,BGN,0.07956663489289582
Bulgaria,2018Q4,2018,4,24.6815,23.15322610728309,0.600820667264384,3.35325,10.3275,13.6805,13.6805,5.0555,0.687,5.258,11.000499999999999,918,3084,162516,3820,2.631,2.31,5.2,1.23e-4,1.38,EM,8.03398273468322,11.998531737443372,8.24800570160062,16.2262563144143,16.569101562499988,16.331809375,Units,0,9423.558611566596,9.150968068161072,2018,YES,YES,YES,YES,YES,3,0.05084886867014736,BGN,0.05084886867014736
